鞍山一村 ,2室1厅,61.58平米,398万,114人关注,共99次带看,yangpu
韵都城 ,2室2厅,98平米,745万,80人关注,共93次带看,yangpu
银亿领墅 ,5室2厅,490.18平米,2600万,56人关注,共93次带看,yangpu
控江五村 ,1室1厅,33.72平米,195万,106人关注,共91次带看,yangpu
大运盛城 ,2室2厅,98.04平米,735万,51人关注,共86次带看,yangpu
黄兴路619弄 ,2室2厅,46.17平米,380万,577人关注,共83次带看,yangpu
铁路新村(杨浦) ,2室1厅,50.27平米,340万,93人关注,共82次带看,yangpu
文化佳园 ,3室2厅,128.88平米,1060万,52人关注,共81次带看,yangpu
香阁丽苑 ,3室2厅,142.81平米,1150万,88人关注,共81次带看,yangpu
控江四村 ,1室1厅,33.27平米,205万,30人关注,共77次带看,yangpu
国定路600弄 ,2室1厅,49.9平米,320万,95人关注,共77次带看,yangpu
华升公寓 ,6室3厅,230.51平米,1000万,117人关注,共74次带看,yangpu
和平花苑 ,2室2厅,90.25平米,610万,63人关注,共74次带看,yangpu
和平花苑 ,2室1厅,90.25平米,655万,37人关注,共73次带看,yangpu
三门路358弄 ,2室1厅,55.98平米,305万,63人关注,共73次带看,yangpu
嘉誉湾 ,4室2厅,201.97平米,1950万,105人关注,共73次带看,yangpu
鞍山七村 ,1室0厅,27.97平米,218万,45人关注,共68次带看,yangpu
鞍山三村 ,2室0厅,47.18平米,370万,33人关注,共68次带看,yangpu
九州花苑 ,3室1厅,88.12平米,510万,17人关注,共68次带看,yangpu
华润置地橡树湾 ,2室2厅,83.92平米,810万,63人关注,共66次带看,yangpu
辽阳大楼 ,2室1厅,71.22平米,455万,73人关注,共65次带看,yangpu
翠湖天地雅苑 ,2室2厅,116.36平米,1630万,38人关注,共345次带看,huangpu
中福浦江汇 ,2室1厅,62.23平米,660万,187人关注,共315次带看,huangpu
中福花苑 ,1室2厅,40.31平米,420万,104人关注,共191次带看,huangpu
济南路8号 ,2室2厅,147.97平米,1560万,42人关注,共173次带看,huangpu
黄浦新苑(公寓) ,2室2厅,117.96平米,929万,87人关注,共170次带看,huangpu
绿城黄浦湾 ,4室2厅,284.89平米,3880万,50人关注,共156次带看,huangpu
滨江名人苑 ,3室2厅,147.02平米,1380万,164人关注,共147次带看,huangpu
翠湖天地雅苑 ,3室2厅,201.84平米,3998万,90人关注,共145次带看,huangpu
